timestamp(ms),adc1,adc2,adc3,
"1747073284.505","0.212903","0.387097","3.3",
"1747073284.506","0.219355","0.393548","3.3",
"1747073284.507","0.222581","0.380645","3.3",
"1747073284.508","0.264516","0.409677","3.3",
"1747073284.509","0.258065","0.409677","3.3",
"1747073284.51","0.264516","0.387097","3.3",
"1747073284.511","0.280645","0.329032","3.3",
"1747073284.512","0.258065","0.380645","3.3",
"1747073284.513","0.3","0.409677","3.3",
"1747073284.514","0.316129","0.416129","3.3",
"1747073284.515","0.332258","0.448387","3.3",
"1747073284.516","0.345161","0.377419","3.3",
"1747073284.517","0.367742","0.422581","3.3",
"1747073284.518","0.380645","0.43871","3.3",
"1747073284.519","0.358065","0.380645","3.3",
"1747073284.52","0.348387","0.364516","3.3",
"1747073284.521","0.370968","0.409677","3.3",
"1747073284.522","0.351613","0.422581","3.3",
"1747073284.523","0.341935","0.309677","3.3",
"1747073284.524","0.306452","0.267742","3.3",
"1747073284.525","0.322581","0.319355","3.3",
"1747073284.526","0.293548","0.232258","3.3",
"1747073284.527","0.283871","0.270968","3.3",
"1747073284.528","0.280645","0.206452","3.3",
"1747073284.529","0.251613","0.174194","3.3",
"1747073284.531","0.229032","0.16129","3.3",
"1747073284.532","0.267742","0.193548","3.3",
"1747073284.533","0.222581","0.196774","3.3",
"1747073284.534","0.232258","0.225806","3.3",
"1747073284.535","0.341935","0.219355","3.3",
"1747073284.536","0.235484","0.245161","3.3",
"1747073284.537","0.341935","0.264516","3.3",
"1747073284.538","0.416129","0.254839","3.3",
"1747073284.539","0.409677","0.296774","3.3",
"1747073284.54","0.364516","0.296774","3.3",
"1747073284.541","0.422581","0.316129","3.3",
"1747073284.542","0.467742","0.309677","3.3",
"1747073284.543","0.422581","0.325806","3.3",
"1747073284.544","0.441935","0.322581","3.3",
"1747073284.545","0.445161","0.322581","3.3",
"1747073284.546","0.425806","0.306452","3.3",
"1747073284.547","0.448387","0.290323","3.3",
"1747073284.548","0.409677","0.277419","3.3",
"1747073284.549","0.409677","0.270968","3.293548",
"1747073284.55","0.409677","0.264516","3.3",
"1747073284.551","0.43871","0.235484","3.3",
"1747073284.552","0.419355","0.251613","3.3",
"1747073284.553","0.409677","0.303226","3.3",
"1747073284.554","0.341935","0.267742","3.3",
"1747073284.555","0.412903","0.316129","3.3",
"1747073284.556","0.393548","0.358065","3.3",
"1747073284.557","0.445161","0.306452","3.3",
"1747073284.558","0.4",,,
"1747073284.559","0.451613","0.325806","3.3",
"1747073284.56","0.441935","0.387097","3.3",
"1747073284.561","0.409677","0.3","3.3",
"1747073284.562","0.383871","0.274194","3.296774",
"1747073284.563","0.451613","0.245161","3.3",
"1747073284.564","0.441935","0.419355","3.3",
"1747073284.565","0.451613","0.454839","3.3",
"1747073284.566","0.464516","0.458065","3.3",
"1747073284.567","0.451613","0.406452","3.3",
"1747073284.568","0.4","0.435484","3.3",
"1747073284.569","0.319355","0.419355","3.3",
"1747073284.57","0.432258","0.409677","3.3",
"1747073284.571","0.393548","0.429032","3.3",
"1747073284.572","0.393548",,"3.3",
"1747073284.573","0.335484","0.370968","3.3",
"1747073284.574","0.270968","0.348387","3.3",
"1747073284.575","0.196774","0.429032","3.277419",
"1747073284.576","0.241935","0.33871","3.3",
"1747073284.577","0.264516","0.403226","3.3",
"1747073284.578","0.254839","0.416129","3.3",
"1747073284.579","0.23871","0.393548","3.3",
"1747073284.58","0.235484","0.409677","3.3",
"1747073284.581","0.270968","0.380645","3.3",
"1747073284.582","0.280645","0.406452","3.3",
